FeatureIdx,Average Feature Area_small,Average Feature Area_mod,Average Feature Area_large,Maximum Inscribed Circle Radius_small,Maximum Inscribed Circle Radius_mod,Maximum Inscribed Circle Radius_large,Variance Feature Orientation_small,Variance Feature Orientation_mod,Variance Feature Orientation_large,Std Dev Inscribed Circle Radius_small,Std Dev Inscribed Circle Radius_mod,Std Dev Inscribed Circle Radius_large,Maximum Feature Area_small,Maximum Feature Area_mod,Maximum Feature Area_large,Feature Unit Cell Size_small,Feature Unit Cell Size_mod,Feature Unit Cell Size_large,Average
13,0.0,0.08074891982717235,0.07131848794111745,0.0,0.0,0.10604583819545695,0.0,0.015770811870465914,0.9994414697614493,0.0,0.091741364919647,0.05859392720601726,0.0,0.0,0.2908131477482439,0.0,0.0,1.0,14.5
14,0.4177341199846337,0.08288293089662896,0.0,0.0,0.08438723689025471,0.08004267599366283,0.0,0.7801819193127776,0.0966400217506118,0.0,0.0,0.07660723167446444,0.2350492082888678,0.40843426236684666,0.0,0.0,0.0,1.0,43.83333333
15,0.10521405727601896,0.5511221945137154,0.0,0.7749237127225491,0.0,0.0,1.0,0.0,0.0,0.9055474336317086,0.0,0.0,0.4568588724224063,0.17583540055450167,0.0,1.0,0.0,0.0,13.0
16,0.9714754603409016,0.0,0.0,0.31846805024172153,0.13691682673690705,0.0,0.0,0.6846000040923036,0.1990176783996361,0.16030613587094533,0.31299265212992455,0.0,0.9841009218595147,0.0,0.0,1.0,0.0,0.0,19.83333333
17,0.10907683001980974,0.5426949866712544,0.0,0.0034632577676576375,0.9164630917181498,0.0,0.0,0.6995640650453285,0.1805523756890533,0.013554769371655642,0.8036546942634504,0.0,0.35017470154491187,0.28002334743907775,0.0,0.0,1.0,0.0,14.91666667
18,0.6313561485241272,0.007155469315866706,0.0,0.0,0.0,0.12984587444902976,0.0,0.7862972611063802,0.09140121456073853,0.0,0.0,0.15483267332839604,0.15771779047433981,0.5196264409747556,0.0,0.0,1.0,0.0,37.08333333
19,0.0,0.0,0.11006385989070203,0.04751318295722609,0.6670725714002165,0.0,1.0,0.0,0.0,0.0010162327156383946,0.9465887949318836,4.9048751705112095e-06,0.0,0.015448603683897805,0.0831755314376713,0.0,1.0,0.0,12.91666667
20,0.9887914278173532,0.0,0.0,0.0,0.0,0.2466310564498047,0.0,0.853692527910962,0.04287567579944238,0.0,0.0,0.17656100847251757,0.9660253602548134,0.0,0.0,0.0,0.0,1.0,65.58333333
21,0.0,0.0,0.20914559819664874,0.14537940542600683,0.4174013728759453,0.0,1.0,0.0,0.0,0.09741735145601689,0.46454095700816156,0.0,0.0,0.0,0.1755507647745376,0.0,1.0,0.0,12.125
22,0.333607905558275,0.1733167082294258,0.0,0.0,0.5305100534925987,0.021117307376258426,0.048783291838419264,0.9508260682494163,3.896939052990928e-06,0.0,0.20151949967375607,0.04525984987202637,0.019298024450007688,0.8447395301327886,0.0,0.0,1.0,0.0,23.83333333
23,0.03541575115488726,0.7642101642445609,0.0,0.7391818561510944,0.0,0.0,1.0,0.0,0.0,0.6721794810442404,0.0,0.0,0.33528227173172803,0.2963665547935211,0.0,1.0,0.0,0.0,7.916666667
24,0.0,0.7758521363418147,0.004294360471950295,0.00555015032206028,0.8890019313771277,0.0,0.8209516861964199,0.1790483138035801,0.0,0.057864832427653265,0.5883080249470071,0.0,0.0,0.4385026737967915,0.02703936505730531,0.0,1.0,0.0,12.0
25,0.1555877671389339,0.44122452489465946,0.0,0.7033404781045801,0.0,0.0,1.0,0.0,0.0,0.8484235038385247,0.0,0.0,0.5251603275174529,0.11367284400992266,0.0,1.0,0.0,0.0,9.0
26,0.15062134503977329,0.45205950640639736,0.0,0.5709498496117117,0.0,0.0,1.0,0.0,0.0,0.5593974655958774,0.0,0.0,0.5184263812404765,0.1198015467678389,0.0,1.0,0.0,0.0,8.25
27,0.0,0.2162265962554009,0.05181123312860796,0.0,0.0,0.1835789426527861,0.6300314258038651,0.3699685741961349,0.0,0.0,0.031626603576497894,0.06770431066058709,0.0,0.0,0.23017676011918745,0.0,0.0,1.0,13.58333333
28,0.0,0.0,0.18786415245427976,0.03392171773976266,0.719985404131722,0.0,1.0,0.0,0.0,0.047578285969779734,0.6263578662157326,0.0,0.0,0.0,0.15534938579326313,0.0,1.0,0.0,10.16666667
29,0.0,0.0,0.10467254689852049,0.0,0.5305100534925987,0.021117307376258426,0.0,0.018096574201397677,0.9992836860104994,0.0,0.5595255185863244,0.01386095855861005,0.0,0.0,0.10354352376914933,0.0,0.0,1.0,10.125
30,0.0,0.0,0.10449863357619205,0.10678595972569235,0.5012148294754836,0.0,1.0,0.0,0.0,0.07425678200242691,0.5317283481079016,0.0,0.0,0.045553574965339676,0.07815430583409955,0.0,1.0,0.0,11.16666667
31,0.3069856894656608,0.20978342321535937,0.0,0.0,0.8889935929119162,0.0012842577514331727,0.0,0.7848285548223948,0.09265940572977571,0.0,0.5284724707454166,0.01580781960813195,0.022533549401178167,0.832482124616956,0.0,0.0,0.0,1.0,27.5
32,0.0,0.0,0.7174287115603324,0.0,0.35991166535272934,0.039149131536653656,1.0,0.0,0.0,0.0,0.6470135296504553,0.008928033867432487,0.0,0.0,0.6943308822267727,0.0,0.0,1.0,13.41666667
33,0.0,0.0,1.0,0.2580267818831167,0.22358077301733065,0.0,1.0,0.0,0.0,0.19933375051657373,0.23372203453547716,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.583333333
34,0.0,0.0015437978303250522,0.08646068280676703,0.0,0.08438723689025471,0.08004267599366283,1.0,0.0,0.0,0.0,0.0,0.16953657377644007,0.0,0.14943553178847296,0.06208946451410402,0.0,1.0,0.0,19.25
35,0.05996443370588958,0.6498409149539923,0.0,0.0,0.9190192948880075,0.0006273737608051053,0.0,0.7368304223641992,0.13855187282632372,0.0021315659201083777,0.9266371983549793,0.0,0.0,0.8348187759952466,0.002388784062637224,0.0,1.0,0.0,20.83333333
36,0.0,0.9236197791646663,0.0005474422363180274,0.0,0.7239086966147933,0.007324206141434526,0.9093420017921371,0.09065799820786288,0.0,0.0,0.7618815254055382,0.004076491550669736,0.0,0.8582887700534759,0.0017773593203631803,0.0,1.0,0.0,20.08333333
37,0.0,0.21142582813250121,0.0524515585284317,0.0,0.7239086966147933,0.007324206141434526,1.0,0.0,0.0,0.0005678703386006642,0.9611596005603712,1.574174213961982e-05,0.0,0.3801742919389978,0.03295782171928634,0.0,1.0,0.0,15.375
38,0.0,0.0,0.24720695788626626,0.0,0.0,0.3008136715025026,1.0,0.0,0.0,0.0,0.0,0.2311746204632489,0.0,0.0,0.21202680465878498,0.0,0.0,1.0,16.625
39,0.9383518669529833,0.0,0.0,0.44705478434476253,0.0,0.0,0.0,0.626247364025257,0.2794426680199308,0.4780209704292937,0.0,0.0,0.9646086107175424,0.0,0.0,1.0,0.0,0.0,40.91666667
40,0.6649688645445535,0.0,0.0,0.0,0.9742263703439855,0.0001303290372846499,0.007362866519537242,0.9883431055030376,4.283629193735909e-05,0.02668961703542153,0.7218899884871655,0.0,0.01151735730552629,0.8742156719684809,0.0,0.0,1.0,0.0,41.41666667
41,0.0,0.0014517140916884023,0.08685881307143282,0.0,0.4158388162894975,0.032652052222369755,0.9444131965416405,0.055586803458359445,0.0,0.0,0.7587750058396731,0.004169918446500885,0.0,0.0,0.22254065153511993,0.0,0.0,1.0,14.91666667
42,0.0,0.0,0.5103970728089468,0.0,0.0,0.3008136715025026,1.0,0.0,0.0,0.0,0.0,0.174010335834832,0.0,0.0,0.4713486663968151,0.0,0.0,1.0,14.75
43,4.1796072354230007e-05,0.9565719612918363,0.00015191118926064596,0.0,0.0,0.11202987876293678,0.0,0.9313785880967316,0.009477542394202738,0.0,0.0,0.09781772831296473,0.0,0.7211328976034859,0.006706467128894993,0.0,1.0,0.0,42.0
44,0.0,0.7698031685069612,0.004527742549654781,0.0,0.017012811088840285,0.09549027989957465,0.0,0.33068516985864016,0.7812471873403006,0.0,0.0,0.16334764213053485,0.0,0.8186769657357893,0.002828737003902084,0.0,1.0,0.0,14.66666667
45,0.0,0.0,0.722229395631131,0.0,0.031058188470168814,0.08991240843663913,1.0,0.0,0.0,0.0,0.24662177338283164,0.04034719632033576,0.0,0.0,0.699523934459546,0.0,0.0,1.0,13.91666667
46,0.0,0.0,0.38711078968735824,0.0,0.4158388162894975,0.032652052222369755,1.0,0.0,0.0,0.0,1.979076999616275e-05,0.07335708209383413,0.0,0.0,0.3486332899755397,0.0,0.0,1.0,13.33333333
47,0.9197443355537435,0.0,0.0,0.6409591569744023,0.0,0.0,0.0,0.5743008435200161,0.3624816928665193,0.6073099052446517,0.0,0.0,0.9088433772476996,0.0,0.0,1.0,0.0,0.0,15.66666667
48,0.0,0.0,0.12528394936503048,0.08397596984129622,0.5577679806062866,0.0,1.0,0.0,0.0,0.10783082925992768,0.4364643264436786,0.0,0.0,0.0,0.09702022082454921,0.0,1.0,0.0,9.166666667
49,0.0,0.0,0.14274242082042804,0.0395040063645309,0.6976889007131447,0.0,1.0,0.0,0.0,0.05622708146016189,0.5939610084472857,0.0,0.0,0.0,0.11309600092855818,0.0,1.0,0.0,13.375
50,0.9726318605973515,0.0,0.0,0.3791246598986396,0.05837814143977712,0.0,0.0,0.9279497501736415,0.010398886894174413,0.5145060800266683,0.0,0.0,0.9629085112728173,0.0,0.0,1.0,0.0,0.0,38.125
51,0.0,0.0,0.1885937323899815,0.0,0.7775301595138978,0.004750159124442159,1.0,0.0,0.0,0.0,0.46172168334636465,0.02062166232733697,0.0,0.0,0.15604002421335705,0.0,1.0,0.0,17.75
52,0.0,0.0,0.8344324266694837,0.026789237748527938,0.7507300083918319,0.0,1.0,0.0,0.0,0.016683804127072113,0.7783514296735811,0.0,0.0,0.0,0.8208986571335642,0.0,0.0,1.0,14.25
53,0.0,0.5206913106096975,0.019414472640300242,0.0,0.0,0.10604583819545695,1.0,0.0,0.0,0.0,0.0,0.15086727012933743,0.0,0.6991483462071697,0.0078060724156690225,0.0,1.0,0.0,13.41666667
54,0.0,0.49044647143542963,0.02193423280722807,0.0,0.25337431034428687,0.053249490930023,0.0,0.7588872383949022,0.11629711400123514,0.0,0.5896076187445105,0.01197497076810926,0.0,0.0,0.23735520126393853,0.0,0.0,1.0,14.5
55,0.0,0.0,0.15384622518101632,0.008431250392043965,0.8623421666809122,0.0,1.0,0.0,0.0,0.0,0.8909608507707053,0.0008979814809227049,0.0,0.0,0.12340831117233791,0.0,1.0,0.0,10.125
56,0.0,0.036965914546327416,0.07826238299060957,0.0,0.0,0.1483730311841966,0.9999639133487425,3.6086651257545084e-05,0.0,0.0,0.39014581062728393,0.026460837447452056,0.0,0.0,0.312856283716863,0.0,0.0,1.0,13.16666667
57,0.9704892661828034,0.0,0.0,0.05550255604303684,0.6411742522546062,0.0,0.0,0.8507944417870276,0.04457192373902468,0.1643406230568838,0.3041405806748879,0.0,0.935990270064669,0.0,0.0,0.0,1.0,0.0,73.91666667
58,0.0,0.8838694191070572,0.0011929783166621482,0.0,0.22345047656138775,0.05758818727782367,0.9974326073955073,0.0025673926044927206,0.0,0.0,0.0,0.13004702363657156,0.000984992438569884,0.9738865793222913,1.750499127303385e-05,0.0,1.0,0.0,10.41666667
59,0.6886225061537568,0.0,0.0,0.0,0.08438723689025471,0.08004267599366283,0.766392628484392,0.233607371515608,0.0,0.0,0.08008547364911638,0.060085125245154955,0.697561340362936,0.011921607927632237,0.0,0.0,1.0,0.0,28.58333333
60,0.020196154298581417,0.8457305013328746,0.0,0.619907808870354,0.0,0.0,1.0,0.0,0.0,0.9002624005483714,0.0,0.0,0.2932643447588164,0.342477746972129,0.0,1.0,0.0,0.0,5.75
61,0.0,0.0,0.7577513655269756,0.0,0.9742263703439855,0.0001303290372846499,1.0,0.0,0.0,0.052274626325546206,0.6076035976473996,0.0,0.0,0.0,0.7379496405988296,0.0,0.0,1.0,11.25
62,0.8676011967174553,0.0,0.0,0.619907808870354,0.0,0.0,0.0,0.9864951880017092,0.00041228491239209234,0.7316623498816042,0.0,0.0,0.8095955404714293,0.0,0.0,1.0,0.0,0.0,10.83333333
63,0.0,0.3894383101296207,0.03148635924630822,0.0,0.08438723689025471,0.08004267599366283,1.0,0.0,0.0,0.0,0.0,0.1315672045237448,0.0,0.5637750049514756,0.01637228285522567,0.0,1.0,0.0,13.91666667
64,0.0,0.5949751960313653,0.013868185589724361,0.0,0.6389051621897537,0.012478481911977164,0.5163728201711869,0.4836271798288131,0.0,0.0,0.6369046704749373,0.009451887852055765,0.0,0.1447811447811448,0.06277843176687221,0.0,0.0,1.0,10.25
65,0.0,0.6890062409985598,0.008167316278354791,0.0,0.0,0.3295428746991876,1.0,0.0,0.0,0.0,0.0,0.6018719628770496,0.0,0.8727470786294316,0.0014007010403125036,0.0,1.0,0.0,13.0
